t0,t1,close_price_uṕ,close_price_variation,price_variation,volumefrom,pos
2018-09-30 06:57:59, 2018-09-30 06:58:59, true, 0.0021, 0.0699, 0.0234, true
2018-09-30 06:58:59, 2018-09-30 06:59:59, false, -0.0105, 0.0160, -0.0476, true
2018-09-30 06:59:59, 2018-09-30 07:00:59, false, -0.0076, 0.0079, 0.0421, true
2018-09-30 15:00:58, 2018-09-30 15:01:58, false, -0.0074, 0.0066, -0.0526, true
2018-09-30 15:01:59, 2018-09-30 15:02:59, true, 0.0059, 0.0073, -0.0018, true
2018-09-30 15:02:24, 2018-09-30 15:03:24, true, 0.0964, 0.1044, 0.0752, true
2018-09-30 14:03:56, 2018-09-30 14:04:56, true, 0.0136, 0.0284, -0.0948, true
2018-09-30 14:04:59, 2018-09-30 14:05:59, false, -0.0044, 0.0239, -0.0474, true
2018-09-30 14:05:59, 2018-09-30 14:06:59, false, -0.0057, 0.0035, -0.0521, true
2018-09-30 14:06:59, 2018-09-30 14:07:59, false, -0.0659, 0.0089, 0.0566, true
2018-09-30 14:07:59, 2018-09-30 14:08:59, false, -0.0077, 0.0006, -0.0347, true
2018-09-30 14:08:59, 2018-09-30 14:09:59, true, 0.0062, 0.0100, -0.0198, true
2018-09-30 14:09:58, 2018-09-30 14:10:58, true, 0.0107, 0.0216, 0.1849, true
2018-09-30 14:10:59, 2018-09-30 14:11:59, true, 0.0482, 0.0630, -0.0125, true
2018-09-30 14:11:59, 2018-09-30 14:12:59, true, 0.0168, 0.0765, -0.1339, true
2018-09-30 14:12:57, 2018-09-30 14:13:57, false, -0.0319, 0.0183, 0.1996, true
2018-09-30 14:13:59, 2018-09-30 14:14:59, true, 0.0177, 0.0211, -0.0672, true
2018-09-30 14:14:59, 2018-09-30 14:15:59, false, -0.0122, 0.0279, -0.1594, true
2018-09-30 14:15:59, 2018-09-30 14:16:59, true, 0.0732, 0.0914, 0.0514, true
2018-09-30 14:16:59, 2018-09-30 14:17:59, false, -0.0116, 0.0757, -0.0098, true
2018-09-30 14:17:59, 2018-09-30 14:18:59, false, -0.0072, 0.0045, -0.0208, true
2018-09-30 14:18:59, 2018-09-30 14:19:59, false, -0.0332, 0.0003, 0.1411, true
2018-09-30 14:19:59, 2018-09-30 14:20:59, false, -0.0278, 0.0017, -0.1220, true
2018-09-30 14:20:59, 2018-09-30 14:21:59, false, -0.0168, 0.0018, 0.0011, true
2018-09-30 14:21:59, 2018-09-30 14:22:59, false, -0.0541, 0.0015, 0.0113, true
2018-09-30 14:22:59, 2018-09-30 14:23:59, false, -0.0679, 0.0000, 0.7241, true
2018-09-30 14:23:59, 2018-09-30 14:24:59, false, -0.0301, 0.0150, -0.6732, true
2018-09-30 14:24:59, 2018-09-30 14:25:59, false, -0.0145, 0.0039, -0.0525, true
2018-09-30 14:25:59, 2018-09-30 14:26:59, false, -0.0248, 0.0015, 0.0808, true
2018-09-30 14:26:59, 2018-09-30 14:27:59, true, 0.0300, 0.0401, -0.0505, true
2018-09-30 14:27:58, 2018-09-30 14:28:58, false, -0.0054, 0.0262, 0.2376, true
2018-09-30 14:28:58, 2018-09-30 14:29:58, true, 0.0448, 0.0614, -0.0883, true
2018-09-30 14:29:58, 2018-09-30 14:30:58, false, -0.0407, 0.0470, -0.1617, true
2018-09-30 14:30:59, 2018-09-30 14:31:59, false, -0.0144, 0.0000, -0.0885, true
2018-09-30 14:31:59, 2018-09-30 14:32:59, false, -0.0230, 0.0126, 0.2600, true
2018-09-30 14:32:59, 2018-09-30 14:33:59, true, 0.0560, 0.0596, -0.2004, true
2018-09-30 14:33:59, 2018-09-30 14:34:59, false, -0.0097, 0.0608, 0.2131, true
2018-09-30 14:34:59, 2018-09-30 14:35:59, false, -0.0021, 0.0357, -0.1448, true
2018-09-30 14:35:59, 2018-09-30 14:36:59, true, 0.0751, 0.0761, -0.0213, true
2018-09-30 14:36:58, 2018-09-30 14:37:58, false, -0.0278, 0.0847, -0.0847, true
2018-09-30 14:37:59, 2018-09-30 14:38:59, true, 0.0342, 0.0482, 0.1664, true
2018-09-30 14:38:57, 2018-09-30 14:39:57, false, -0.0012, 0.0379, -0.1421, true
2018-09-30 14:39:58, 2018-09-30 14:40:58, false, -0.0054, 0.0127, 0.0596, true
2018-09-30 14:40:59, 2018-09-30 14:41:59, false, -0.0366, 0.0156, -0.0485, true
2018-09-30 14:41:59, 2018-09-30 14:42:59, false, -0.0106, 0.0067, 0.0915, true
2018-09-30 14:42:59, 2018-09-30 14:43:59, true, 0.0269, 0.0308, -0.0169, true
2018-09-30 14:43:58, 2018-09-30 14:44:58, true, 0.0388, 0.0593, 0.0296, true
2018-09-30 14:44:59, 2018-09-30 14:45:59, true, 0.0166, 0.0636, -0.0819, true
2018-09-30 14:45:59, 2018-09-30 14:46:59, true, 0.0744, 0.0987, 0.0343, true
2018-09-30 14:46:58, 2018-09-30 14:47:58, true, 0.0027, 0.0779, -0.0716, true
2018-09-30 14:47:59, 2018-09-30 14:48:59, false, -0.0364, 0.0160, 0.0270, true
2018-09-30 14:48:59, 2018-09-30 14:49:59, false, -0.0230, -0.0012, -0.0832, true
2018-09-30 14:49:59, 2018-09-30 14:50:59, false, -0.0080, 0.0051, 0.0479, true
2018-09-30 14:50:59, 2018-09-30 14:51:59, true, 0.0153, 0.0198, 0.1630, true
2018-09-30 14:51:59, 2018-09-30 14:52:59, true, 0.0038, 0.0193, -0.0965, true
2018-09-30 14:52:59, 2018-09-30 14:53:59, false, -0.0047, 0.0080, -0.0050, true
2018-09-30 14:53:58, 2018-09-30 14:54:58, false, -0.0104, 0.0360, 0.0178, true
2018-09-30 14:54:59, 2018-09-30 14:55:59, true, 0.0640, 0.0684, -0.0530, true
2018-09-30 14:55:59, 2018-09-30 14:56:59, true, 0.0054, 0.0702, 0.0211, true
2018-09-30 14:56:57, 2018-09-30 14:57:57, false, -0.0109, 0.0113, -0.0118, true
2018-09-30 14:57:59, 2018-09-30 14:58:59, false, -0.0131, 0.0012, -0.0103, true
2018-09-30 14:58:59, 2018-09-30 14:59:59, false, -0.0189, 0.0014, -0.0190, true
2018-09-30 14:59:59, 2018-09-30 15:00:59, false, -0.0293, 0.0038, 0.0260, true
2018-09-30 23:00:59, 2018-09-30 23:01:59, true, 0.0271, 0.0401, -0.0466, true
2018-09-30 23:01:59, 2018-09-30 23:02:59, false, -0.0181, 0.0351, -0.0954, true
2018-09-30 23:02:26, 2018-09-30 23:03:26, true, 0.0496, 0.0498, 0.3238, true
2018-09-30 22:03:57, 2018-09-30 22:04:57, true, 0.0193, 0.0236, -0.2702, true
2018-09-30 22:04:58, 2018-09-30 22:05:58, false, -0.0111, 0.0190, 0.0794, true
2018-09-30 22:05:59, 2018-09-30 22:06:59, false, -0.0023, 0.0017, 0.0915, true
2018-09-30 22:06:59, 2018-09-30 22:07:59, false, -0.0296, 0.0089, -0.1294, true
2018-09-30 22:07:59, 2018-09-30 22:08:59, true, 0.0572, 0.0766, -0.0230, true
2018-09-30 22:08:59, 2018-09-30 22:09:59, true, 0.0027, 0.0666, -0.0104, true
2018-09-30 22:09:59, 2018-09-30 22:10:59, false, -0.0117, 0.0027, 0.0059, true
2018-09-30 22:10:58, 2018-09-30 22:11:58, false, -0.0038, 0.0026, 0.0695, true
2018-09-30 22:11:58, 2018-09-30 22:12:58, true, 0.0251, 0.0308, 0.9045, true
2018-09-30 22:12:59, 2018-09-30 22:13:59, true, 0.0286, 0.0553, -0.7137, true
2018-09-30 22:13:59, 2018-09-30 22:14:59, true, 0.0077, 0.1070, 0.1188, true
2018-09-30 22:14:59, 2018-09-30 22:15:59, true, 0.0147, 0.0254, -0.2941, true
2018-09-30 22:15:59, 2018-09-30 22:16:59, true, 0.0036, 0.0197, 0.0129, true
2018-09-30 22:16:58, 2018-09-30 22:17:58, true, 0.0601, 0.0648, 0.3043, true
2018-09-30 22:17:59, 2018-09-30 22:18:59, false, -0.0047, 0.0661, -0.2980, true
2018-09-30 22:18:59, 2018-09-30 22:19:59, true, 0.0075, 0.0143, 0.0080, true
2018-09-30 22:19:57, 2018-09-30 22:20:57, false, -0.0006, 0.0159, -0.0858, true
2018-09-30 22:20:57, 2018-09-30 22:21:57, true, 0.0296, 0.0297, 0.5211, true
2018-09-30 22:21:59, 2018-09-30 22:22:59, true, 0.0137, 0.0439, -0.1010, true
2018-09-30 22:22:59, 2018-09-30 22:23:59, true, 0.0173, 0.0688, -0.3235, true
2018-09-30 22:23:57, 2018-09-30 22:24:57, false, -0.0460, 0.0140, 0.4548, true
2018-09-30 22:24:59, 2018-09-30 22:25:59, false, -0.1366, -0.0038, 2.7856, true
2018-09-30 22:25:59, 2018-09-30 22:26:59, false, -0.0867, 0.0006, -2.9905, true
2018-09-30 22:26:58, 2018-09-30 22:27:58, false, -0.0101, 0.0114, -0.4140, true
2018-09-30 22:27:59, 2018-09-30 22:28:59, false, -0.0218, 0.0056, 0.1182, true
2018-09-30 22:28:57, 2018-09-30 22:29:57, false, -0.0695, 0.0005, 0.0901, true
2018-09-30 22:29:59, 2018-09-30 22:30:59, false, -0.0288, 0.0099, -0.0826, true
2018-09-30 22:30:58, 2018-09-30 22:31:58, true, 0.0375, 0.0446, -0.0533, true
2018-09-30 22:31:59, 2018-09-30 22:32:59, false, -0.0191, 0.0401, 0.5420, true
2018-09-30 22:32:59, 2018-09-30 22:33:59, true, 0.0006, 0.0157, -0.4747, true
2018-09-30 22:33:59, 2018-09-30 22:34:59, true, 0.0166, 0.0191, 0.0628, true
2018-09-30 22:34:59, 2018-09-30 22:35:59, false, -0.0089, 0.0271, -0.1917, true
2018-09-30 22:35:59, 2018-09-30 22:36:59, false, -0.0179, 0.0105, 0.0125, true
2018-09-30 22:36:59, 2018-09-30 22:37:59, true, 0.0104, 0.0127, 0.1227, true
2018-09-30 22:37:59, 2018-09-30 22:38:59, true, 0.0426, 0.0788, 0.9464, true
2018-09-30 22:38:59, 2018-09-30 22:39:59, true, 0.0123, 0.0788, -1.0578, true
2018-09-30 22:39:58, 2018-09-30 22:40:58, false, -0.0387, 0.0127, 0.1172, true
2018-09-30 22:40:59, 2018-09-30 22:41:59, false, -0.0039, 0.0020, -0.0823, true
2018-09-30 22:41:59, 2018-09-30 22:42:59, false, -0.0182, 0.0188, -0.0274, true
2018-09-30 22:42:59, 2018-09-30 22:43:59, false, -0.0057, 0.0148, -0.0128, true
2018-09-30 22:43:59, 2018-09-30 22:44:59, false, -0.0410, 0.0014, 0.1354, true
2018-09-30 22:44:59, 2018-09-30 22:45:59, false, -0.0075, 0.0060, -0.1330, true
2018-09-30 22:45:58, 2018-09-30 22:46:58, false, -0.0208, 0.0000, 0.0406, true
2018-09-30 22:46:58, 2018-09-30 22:47:58, false, -0.0403, 0.0012, 0.0294, true
2018-09-30 22:47:59, 2018-09-30 22:48:59, true, 0.0216, 0.0469, 0.1692, true
2018-09-30 22:48:59, 2018-09-30 22:49:59, false, -0.0009, 0.0504, -0.1872, true
2018-09-30 22:49:59, 2018-09-30 22:50:59, true, 0.0454, 0.0591, 0.0473, true
2018-09-30 22:50:58, 2018-09-30 22:51:58, true, 0.0493, 0.1028, 0.0157, true
2018-09-30 22:51:59, 2018-09-30 22:52:59, true, 0.0020, 0.0740, 0.2844, true
2018-09-30 22:52:59, 2018-09-30 22:53:59, false, -0.0020, 0.0139, -0.4069, true
2018-09-30 22:53:59, 2018-09-30 22:54:59, true, 0.0017, 0.0164, 0.0175, true
2018-09-30 22:54:59, 2018-09-30 22:55:59, true, 0.0087, 0.0276, 0.1862, true
2018-09-30 22:55:58, 2018-09-30 22:56:58, false, -0.0011, 0.0209, 0.8872, true
2018-09-30 22:56:59, 2018-09-30 22:57:59, true, 0.0063, 0.0075, -0.8133, true
2018-09-30 22:57:59, 2018-09-30 22:58:59, false, -0.0262, 0.0344, -0.0729, true
2018-09-30 22:58:59, 2018-09-30 22:59:59, false, -0.0398, 0.0158, -0.1283, true
2018-09-30 22:59:59, 2018-09-30 23:00:59, false, -0.0039, 0.0047, 0.1444, true
